step,community_0,community_1,community_2,community_4,community_5,community_6,community_9,community_10,community_12,community_13,community_14,community_15,community_16,community_21,community_22,community_24,community_26,community_27,community_29,community_31,community_42,community_45,community_57,community_58
86,0.0069,0.0127,0.0051,0.0003,0.0033,0.0035,0.0108,0.0018,0.0068,0.0028,0.0008,0.0068,0.0050,0.0031,0.0158,0.0361,0.0058,0.0002,0.0259,0.0102,0.0229,0.0353,0.0184,0.0020
87,0.0069,0.0130,0.0052,0.0003,0.0033,0.0035,0.0108,0.0018,0.0068,0.0028,0.0009,0.0071,0.0051,0.0031,0.0164,0.0361,0.0059,0.0003,0.0258,0.0107,0.0228,0.0352,0.0185,0.0020
88,0.0069,0.0133,0.0052,0.0004,0.0034,0.0036,0.0108,0.0019,0.0068,0.0029,0.0009,0.0073,0.0052,0.0032,0.0169,0.0361,0.0059,0.0003,0.0257,0.0111,0.0228,0.0352,0.0185,0.0020
89,0.0069,0.0137,0.0053,0.0004,0.0034,0.0036,0.0109,0.0019,0.0069,0.0029,0.0010,0.0076,0.0053,0.0033,0.0175,0.0361,0.0060,0.0003,0.0256,0.0116,0.0227,0.0351,0.0185,0.0020
90,0.0069,0.0140,0.0053,0.0004,0.0034,0.0036,0.0109,0.0019,0.0069,0.0030,0.0010,0.0078,0.0054,0.0034,0.0180,0.0361,0.0060,0.0003,0.0255,0.0121,0.0226,0.0351,0.0186,0.0020
91,0.0069,0.0144,0.0053,0.0004,0.0034,0.0036,0.0109,0.0019,0.0069,0.0030,0.0011,0.0081,0.0055,0.0035,0.0186,0.0361,0.0060,0.0003,0.0254,0.0126,0.0226,0.0350,0.0186,0.0020
92,0.0069,0.0147,0.0054,0.0004,0.0034,0.0037,0.0109,0.0019,0.0070,0.0031,0.0011,0.0083,0.0056,0.0036,0.0191,0.0361,0.0061,0.0004,0.0254,0.0131,0.0225,0.0350,0.0186,0.0020
93,0.0069,0.0150,0.0054,0.0004,0.0034,0.0037,0.0109,0.0019,0.0070,0.0031,0.0012,0.0086,0.0057,0.0037,0.0197,0.0360,0.0061,0.0004,0.0253,0.0136,0.0224,0.0350,0.0187,0.0021
94,0.0069,0.0154,0.0055,0.0004,0.0034,0.0037,0.0110,0.0020,0.0070,0.0032,0.0012,0.0089,0.0058,0.0038,0.0202,0.0360,0.0061,0.0004,0.0252,0.0141,0.0224,0.0349,0.0187,0.0021
95,0.0069,0.0157,0.0055,0.0004,0.0034,0.0037,0.0110,0.0020,0.0070,0.0032,0.0013,0.0092,0.0059,0.0039,0.0207,0.0360,0.0062,0.0004,0.0251,0.0146,0.0223,0.0349,0.0187,0.0021
96,0.0068,0.0160,0.0055,0.0005,0.0034,0.0037,0.0110,0.0020,0.0071,0.0033,0.0013,0.0095,0.0060,0.0040,0.0212,0.0360,0.0062,0.0005,0.0251,0.0152,0.0222,0.0348,0.0187,0.0021
97,0.0068,0.0163,0.0056,0.0005,0.0034,0.0038,0.0110,0.0020,0.0071,0.0033,0.0014,0.0097,0.0061,0.0041,0.0217,0.0360,0.0062,0.0005,0.0250,0.0157,0.0222,0.0348,0.0188,0.0021
98,0.0068,0.0167,0.0056,0.0005,0.0035,0.0038,0.0110,0.0020,0.0071,0.0034,0.0015,0.0100,0.0062,0.0043,0.0222,0.0360,0.0063,0.0005,0.0249,0.0163,0.0221,0.0348,0.0188,0.0021
99,0.0068,0.0170,0.0056,0.0005,0.0035,0.0038,0.0110,0.0021,0.0072,0.0034,0.0015,0.0103,0.0063,0.0044,0.0226,0.0360,0.0063,0.0005,0.0248,0.0168,0.0221,0.0347,0.0188,0.0022
100,0.0068,0.0173,0.0057,0.0005,0.0035,0.0038,0.0111,0.0021,0.0072,0.0035,0.0016,0.0106,0.0064,0.0045,0.0231,0.0360,0.0063,0.0006,0.0248,0.0174,0.0220,0.0347,0.0188,0.0022
101,0.0068,0.0176,0.0057,0.0005,0.0035,0.0039,0.0111,0.0021,0.0072,0.0035,0.0016,0.0109,0.0065,0.0046,0.0235,0.0360,0.0064,0.0006,0.0247,0.0180,0.0220,0.0346,0.0189,0.0022
102,0.0068,0.0179,0.0058,0.0006,0.0035,0.0039,0.0111,0.0021,0.0073,0.0036,0.0017,0.0113,0.0066,0.0047,0.0240,0.0360,0.0064,0.0006,0.0246,0.0185,0.0219,0.0346,0.0189,0.0022
103,0.0068,0.0182,0.0058,0.0006,0.0035,0.0039,0.0111,0.0022,0.0073,0.0036,0.0018,0.0116,0.0067,0.0048,0.0244,0.0359,0.0064,0.0007,0.0246,0.0191,0.0218,0.0346,0.0189,0.0022
104,0.0068,0.0185,0.0058,0.0006,0.0035,0.0039,0.0111,0.0022,0.0073,0.0037,0.0018,0.0119,0.0068,0.0050,0.0248,0.0359,0.0064,0.0007,0.0245,0.0196,0.0218,0.0345,0.0189,0.0023
105,0.0068,0.0188,0.0059,0.0006,0.0035,0.0040,0.0112,0.0022,0.0074,0.0037,0.0019,0.0122,0.0070,0.0051,0.0252,0.0359,0.0065,0.0007,0.0245,0.0202,0.0217,0.0345,0.0189,0.0023
