step,with Clustered Zealots_mean_opinion,with Clustered Zealots_mean_abs_opinion,with Clustered Zealots_non_zealot_variance,with Clustered Zealots_cluster_variance,with Clustered Zealots_negative_count,with Clustered Zealots_negative_mean,with Clustered Zealots_positive_count,with Clustered Zealots_positive_mean,with Clustered Zealots_polarization_index,with Clustered Zealots_identity_1_mean_opinion,with Clustered Zealots_identity_neg1_mean_opinion,with Clustered Zealots_identity_opinion_difference
96,0.0797,0.3789,0.1589,0.0474,218.5,-0.3364,261.5,0.3591,33.1448,0.0603,0.0198,0.0404
97,0.0798,0.3795,0.1593,0.0474,218.4,-0.3370,261.6,0.3596,33.2120,0.0604,0.0199,0.0405
98,0.0799,0.3800,0.1597,0.0474,218.5,-0.3373,261.5,0.3603,33.1985,0.0605,0.0200,0.0404
99,0.0800,0.3806,0.1601,0.0474,218.4,-0.3380,261.6,0.3608,33.3197,0.0605,0.0201,0.0404
100,0.0801,0.3811,0.1604,0.0474,218.4,-0.3384,261.6,0.3614,33.4800,0.0606,0.0203,0.0404
101,0.0802,0.3816,0.1608,0.0473,218.5,-0.3387,261.5,0.3622,33.4836,0.0607,0.0204,0.0403
102,0.0803,0.3821,0.1612,0.0473,218.4,-0.3393,261.6,0.3626,33.6037,0.0608,0.0205,0.0403
103,0.0804,0.3826,0.1615,0.0473,218.4,-0.3398,261.6,0.3632,33.6087,0.0609,0.0206,0.0402
104,0.0805,0.3831,0.1619,0.0473,218.6,-0.3399,261.4,0.3640,33.6319,0.0609,0.0207,0.0402
105,0.0806,0.3836,0.1622,0.0473,218.6,-0.3403,261.4,0.3645,33.7117,0.0610,0.0208,0.0402
106,0.0806,0.3840,0.1625,0.0473,218.5,-0.3409,261.5,0.3649,33.7381,0.0611,0.0209,0.0402
107,0.0807,0.3844,0.1629,0.0473,218.4,-0.3415,261.6,0.3653,33.8259,0.0611,0.0210,0.0402
108,0.0808,0.3849,0.1632,0.0473,218.4,-0.3420,261.6,0.3658,33.8607,0.0612,0.0211,0.0401
109,0.0809,0.3853,0.1635,0.0473,218.3,-0.3425,261.7,0.3661,33.9088,0.0613,0.0212,0.0401
110,0.0809,0.3857,0.1638,0.0473,218.2,-0.3430,261.8,0.3664,33.9322,0.0613,0.0212,0.0401
111,0.0810,0.3861,0.1641,0.0473,218.2,-0.3433,261.8,0.3668,33.9542,0.0614,0.0213,0.0401
112,0.0811,0.3865,0.1644,0.0473,218.2,-0.3437,261.8,0.3672,34.0692,0.0615,0.0214,0.0401
113,0.0811,0.3869,0.1646,0.0473,218.2,-0.3440,261.8,0.3677,34.1328,0.0615,0.0215,0.0400
114,0.0812,0.3872,0.1649,0.0473,218.2,-0.3443,261.8,0.3681,34.2347,0.0616,0.0216,0.0400
115,0.0813,0.3876,0.1651,0.0473,218.2,-0.3446,261.8,0.3685,34.2883,0.0616,0.0217,0.0399
116,0.0814,0.3880,0.1654,0.0472,218.1,-0.3450,261.9,0.3688,34.3643,0.0617,0.0219,0.0398
117,0.0816,0.3883,0.1656,0.0472,217.9,-0.3455,262.1,0.3690,34.4108,0.0618,0.0221,0.0396
118,0.0817,0.3886,0.1659,0.0472,217.8,-0.3459,262.2,0.3694,34.4637,0.0618,0.0223,0.0395
119,0.0818,0.3890,0.1661,0.0472,217.8,-0.3461,262.2,0.3698,34.4338,0.0619,0.0226,0.0393
120,0.0819,0.3893,0.1663,0.0472,217.6,-0.3467,262.4,0.3700,34.4177,0.0620,0.0228,0.0392
121,0.0821,0.3896,0.1665,0.0472,217.6,-0.3469,262.4,0.3704,34.5019,0.0620,0.0230,0.0390
122,0.0822,0.3900,0.1667,0.0472,217.7,-0.3469,262.3,0.3709,34.5283,0.0621,0.0232,0.0389
123,0.0823,0.3902,0.1670,0.0471,217.6,-0.3473,262.4,0.3711,34.5869,0.0622,0.0233,0.0388
124,0.0824,0.3905,0.1672,0.0471,217.6,-0.3474,262.4,0.3715,34.6487,0.0622,0.0235,0.0387
125,0.0825,0.3908,0.1674,0.0471,217.7,-0.3475,262.3,0.3720,34.6575,0.0623,0.0237,0.0386
126,0.0826,0.3911,0.1676,0.0471,217.7,-0.3477,262.3,0.3724,34.6666,0.0623,0.0238,0.0385
127,0.0827,0.3913,0.1677,0.0471,217.7,-0.3479,262.3,0.3727,34.7167,0.0624,0.0240,0.0384
128,0.0828,0.3916,0.1679,0.0471,217.6,-0.3483,262.4,0.3730,34.7071,0.0624,0.0241,0.0383
129,0.0829,0.3919,0.1681,0.0471,217.6,-0.3485,262.4,0.3733,34.7902,0.0625,0.0243,0.0382
130,0.0830,0.3921,0.1683,0.0471,217.4,-0.3490,262.6,0.3733,34.7764,0.0625,0.0245,0.0381
131,0.0831,0.3924,0.1684,0.0470,217.4,-0.3492,262.6,0.3737,34.8277,0.0626,0.0247,0.0379
132,0.0832,0.3927,0.1686,0.0470,217.4,-0.3493,262.6,0.3740,34.8366,0.0626,0.0249,0.0378
133,0.0833,0.3929,0.1688,0.0470,217.4,-0.3495,262.6,0.3743,34.8794,0.0627,0.0250,0.0376
134,0.0834,0.3932,0.1689,0.0470,217.5,-0.3495,262.5,0.3748,34.9136,0.0627,0.0252,0.0375
135,0.0835,0.3934,0.1691,0.0470,217.5,-0.3497,262.5,0.3751,34.9554,0.0627,0.0254,0.0374
136,0.0836,0.3936,0.1692,0.0470,217.4,-0.3500,262.6,0.3753,35.0346,0.0628,0.0255,0.0373
137,0.0837,0.3938,0.1694,0.0470,217.5,-0.3500,262.5,0.3757,35.0768,0.0628,0.0257,0.0371
138,0.0838,0.3940,0.1695,0.0470,217.6,-0.3499,262.4,0.3762,35.0993,0.0629,0.0258,0.0370
139,0.0839,0.3942,0.1697,0.0470,217.6,-0.3500,262.4,0.3764,35.1506,0.0629,0.0260,0.0369
140,0.0840,0.3944,0.1698,0.0470,217.4,-0.3505,262.6,0.3763,35.1867,0.0629,0.0261,0.0368
141,0.0841,0.3946,0.1699,0.0470,217.5,-0.3505,262.5,0.3767,35.2045,0.0630,0.0262,0.0368
142,0.0841,0.3948,0.1700,0.0470,217.5,-0.3506,262.5,0.3770,35.2671,0.0630,0.0263,0.0367
143,0.0842,0.3950,0.1702,0.0470,217.5,-0.3507,262.5,0.3772,35.2662,0.0630,0.0264,0.0366
144,0.0843,0.3951,0.1703,0.0470,217.4,-0.3510,262.6,0.3773,35.2917,0.0630,0.0265,0.0365
145,0.0843,0.3953,0.1704,0.0470,217.4,-0.3511,262.6,0.3775,35.3179,0.0631,0.0266,0.0364
146,0.0844,0.3954,0.1705,0.0470,217.4,-0.3512,262.6,0.3777,35.3179,0.0631,0.0267,0.0364
147,0.0844,0.3956,0.1706,0.0470,217.5,-0.3512,262.5,0.3780,35.3232,0.0631,0.0268,0.0363
148,0.0845,0.3957,0.1707,0.0470,217.5,-0.3513,262.5,0.3782,35.3403,0.0631,0.0269,0.0362
149,0.0845,0.3959,0.1708,0.0470,217.6,-0.3513,262.4,0.3786,35.3943,0.0632,0.0270,0.0362
150,0.0846,0.3960,0.1709,0.0470,217.6,-0.3514,262.4,0.3787,35.4327,0.0632,0.0270,0.0361
151,0.0846,0.3961,0.1710,0.0470,217.6,-0.3515,262.4,0.3789,35.4064,0.0632,0.0271,0.0361
152,0.0846,0.3963,0.1711,0.0470,217.5,-0.3518,262.5,0.3789,35.4395,0.0632,0.0271,0.0361
153,0.0847,0.3964,0.1712,0.0469,217.5,-0.3519,262.5,0.3791,35.4395,0.0632,0.0272,0.0361
154,0.0847,0.3965,0.1713,0.0469,217.4,-0.3521,262.6,0.3791,35.4103,0.0633,0.0272,0.0360
155,0.0847,0.3966,0.1714,0.0469,217.4,-0.3522,262.6,0.3792,35.4273,0.0633,0.0273,0.0360
156,0.0848,0.3968,0.1715,0.0469,217.3,-0.3525,262.7,0.3792,35.4536,0.0633,0.0273,0.0360
157,0.0848,0.3969,0.1716,0.0469,217.1,-0.3529,262.9,0.3791,35.5753,0.0633,0.0274,0.0359
158,0.0849,0.3970,0.1716,0.0469,217.0,-0.3531,263.0,0.3791,35.5753,0.0633,0.0275,0.0358
159,0.0850,0.3972,0.1717,0.0469,217.0,-0.3532,263.0,0.3793,35.5553,0.0633,0.0277,0.0357
160,0.0851,0.3973,0.1718,0.0469,217.0,-0.3532,263.0,0.3795,35.5967,0.0634,0.0278,0.0356
161,0.0851,0.3974,0.1719,0.0469,216.9,-0.3535,263.1,0.3795,35.6145,0.0634,0.0279,0.0355
162,0.0852,0.3976,0.1719,0.0469,216.9,-0.3535,263.1,0.3797,35.6498,0.0634,0.0280,0.0354
163,0.0853,0.3977,0.1720,0.0469,216.8,-0.3537,263.2,0.3797,35.6674,0.0634,0.0281,0.0353
164,0.0853,0.3978,0.1721,0.0469,216.8,-0.3538,263.2,0.3799,35.6954,0.0634,0.0282,0.0352
165,0.0854,0.3979,0.1722,0.0469,216.8,-0.3538,263.2,0.3801,35.7524,0.0634,0.0284,0.0351
166,0.0854,0.3980,0.1722,0.0469,216.8,-0.3539,263.2,0.3802,35.7891,0.0634,0.0285,0.0350
167,0.0855,0.3981,0.1723,0.0469,216.7,-0.3541,263.3,0.3802,35.8065,0.0634,0.0285,0.0349
168,0.0856,0.3982,0.1724,0.0469,216.6,-0.3543,263.4,0.3802,35.8334,0.0635,0.0287,0.0348
169,0.0856,0.3984,0.1725,0.0469,216.7,-0.3542,263.3,0.3805,35.8505,0.0635,0.0288,0.0347
