step,with Random Zealots_mean_opinion,with Random Zealots_mean_abs_opinion,with Random Zealots_non_zealot_variance,with Random Zealots_cluster_variance,with Random Zealots_negative_count,with Random Zealots_negative_mean,with Random Zealots_positive_count,with Random Zealots_positive_mean,with Random Zealots_polarization_index,with Random Zealots_identity_1_mean_opinion,with Random Zealots_identity_neg1_mean_opinion,with Random Zealots_identity_opinion_difference
126,0.1444,0.3964,0.1610,0.0486,184.6,-0.3311,295.4,0.3866,32.5299,0.1929,0.0332,0.1597
127,0.1445,0.3967,0.1612,0.0486,184.7,-0.3311,295.3,0.3871,32.5535,0.1930,0.0333,0.1597
128,0.1446,0.3970,0.1614,0.0485,184.8,-0.3310,295.2,0.3876,32.6366,0.1931,0.0335,0.1596
129,0.1447,0.3973,0.1616,0.0485,184.8,-0.3313,295.2,0.3879,32.7105,0.1933,0.0337,0.1596
130,0.1449,0.3976,0.1618,0.0485,184.9,-0.3313,295.1,0.3884,32.7257,0.1934,0.0338,0.1596
131,0.1450,0.3979,0.1619,0.0485,184.8,-0.3319,295.2,0.3886,32.7314,0.1935,0.0339,0.1596
132,0.1451,0.3981,0.1621,0.0485,184.6,-0.3324,295.4,0.3887,32.7573,0.1936,0.0340,0.1596
133,0.1452,0.3984,0.1623,0.0485,184.7,-0.3325,295.3,0.3891,32.8251,0.1937,0.0342,0.1595
134,0.1453,0.3986,0.1625,0.0485,184.6,-0.3329,295.4,0.3893,32.8308,0.1938,0.0343,0.1595
135,0.1454,0.3989,0.1626,0.0485,184.6,-0.3331,295.4,0.3895,32.8520,0.1939,0.0344,0.1595
136,0.1455,0.3991,0.1628,0.0485,184.5,-0.3334,295.5,0.3897,32.8701,0.1940,0.0346,0.1594
137,0.1456,0.3994,0.1629,0.0485,184.4,-0.3337,295.6,0.3898,32.8853,0.1941,0.0347,0.1594
138,0.1457,0.3996,0.1631,0.0485,184.4,-0.3339,295.6,0.3901,32.9510,0.1942,0.0348,0.1594
139,0.1458,0.3998,0.1632,0.0485,184.4,-0.3341,295.6,0.3903,32.9613,0.1943,0.0349,0.1594
140,0.1458,0.4000,0.1633,0.0485,184.5,-0.3341,295.5,0.3907,32.9853,0.1943,0.0350,0.1593
141,0.1459,0.4002,0.1635,0.0485,184.6,-0.3341,295.4,0.3911,32.9853,0.1944,0.0351,0.1593
