step,with Random Zealots_mean_opinion,with Random Zealots_mean_abs_opinion,with Random Zealots_non_zealot_variance,with Random Zealots_cluster_variance,with Random Zealots_negative_count,with Random Zealots_negative_mean,with Random Zealots_positive_count,with Random Zealots_positive_mean,with Random Zealots_polarization_index,with Random Zealots_identity_1_mean_opinion,with Random Zealots_identity_neg1_mean_opinion,with Random Zealots_identity_opinion_difference
223,0.3057,0.3265,0.0576,0.0154,23.4,-0.0506,456.6,0.3008,1.9293,0.3384,0.2175,0.1209
224,0.3061,0.3269,0.0576,0.0154,23.4,-0.0507,456.6,0.3013,1.9542,0.3386,0.2180,0.1206
225,0.3065,0.3273,0.0577,0.0154,23.4,-0.0509,456.6,0.3017,1.9543,0.3389,0.2185,0.1203
226,0.3068,0.3277,0.0577,0.0154,23.4,-0.0510,456.6,0.3021,1.9625,0.3391,0.2190,0.1201
227,0.3072,0.3281,0.0577,0.0154,23.4,-0.0512,456.6,0.3025,1.9682,0.3393,0.2195,0.1198
228,0.3075,0.3285,0.0578,0.0155,23.4,-0.0513,456.6,0.3029,1.9883,0.3396,0.2200,0.1196
229,0.3079,0.3289,0.0578,0.0155,23.3,-0.0515,456.7,0.3032,1.9883,0.3398,0.2204,0.1194
230,0.3082,0.3293,0.0578,0.0155,23.3,-0.0516,456.7,0.3036,1.9977,0.3400,0.2209,0.1191
231,0.3085,0.3296,0.0579,0.0155,23.3,-0.0518,456.7,0.3040,1.9977,0.3402,0.2214,0.1189
232,0.3089,0.3300,0.0579,0.0155,23.3,-0.0519,456.7,0.3044,2.0253,0.3405,0.2218,0.1186
233,0.3092,0.3304,0.0579,0.0156,23.3,-0.0521,456.7,0.3048,2.0253,0.3407,0.2223,0.1184
234,0.3095,0.3308,0.0580,0.0156,23.3,-0.0522,456.7,0.3052,2.0253,0.3409,0.2227,0.1182
235,0.3099,0.3311,0.0580,0.0156,23.3,-0.0523,456.7,0.3055,2.0266,0.3411,0.2231,0.1180
236,0.3102,0.3315,0.0580,0.0156,23.3,-0.0524,456.7,0.3059,2.0542,0.3413,0.2236,0.1177
237,0.3105,0.3318,0.0580,0.0156,23.3,-0.0526,456.7,0.3063,2.0542,0.3415,0.2240,0.1175
238,0.3108,0.3322,0.0581,0.0156,23.3,-0.0527,456.7,0.3066,2.0545,0.3417,0.2244,0.1173
239,0.3111,0.3325,0.0581,0.0157,23.0,-0.0529,457.0,0.3068,2.0574,0.3419,0.2248,0.1171
240,0.3114,0.3329,0.0581,0.0157,23.0,-0.0530,457.0,0.3071,2.0576,0.3421,0.2253,0.1169
241,0.3117,0.3332,0.0581,0.0157,22.9,-0.0531,457.1,0.3074,2.0603,0.3423,0.2257,0.1167
242,0.3120,0.3335,0.0582,0.0157,22.9,-0.0533,457.1,0.3078,2.0603,0.3425,0.2261,0.1164
243,0.3123,0.3339,0.0582,0.0157,23.0,-0.0532,457.0,0.3082,2.0603,0.3427,0.2265,0.1162
244,0.3126,0.3342,0.0582,0.0157,22.8,-0.0533,457.2,0.3084,2.0779,0.3429,0.2269,0.1160
245,0.3129,0.3345,0.0582,0.0158,22.8,-0.0535,457.2,0.3087,2.0792,0.3431,0.2273,0.1158
246,0.3131,0.3348,0.0583,0.0158,22.8,-0.0536,457.2,0.3090,2.0818,0.3433,0.2276,0.1156
247,0.3134,0.3351,0.0583,0.0158,22.8,-0.0537,457.2,0.3093,2.0818,0.3435,0.2280,0.1154
248,0.3137,0.3354,0.0583,0.0158,23.0,-0.0534,457.0,0.3098,2.0818,0.3436,0.2284,0.1152
249,0.3140,0.3357,0.0583,0.0158,23.0,-0.0535,457.0,0.3101,2.0818,0.3438,0.2288,0.1151
250,0.3142,0.3360,0.0583,0.0158,23.0,-0.0536,457.0,0.3104,2.0900,0.3440,0.2291,0.1149
251,0.3145,0.3363,0.0583,0.0159,23.0,-0.0537,457.0,0.3107,2.1182,0.3442,0.2295,0.1147
252,0.3148,0.3366,0.0584,0.0159,23.0,-0.0539,457.0,0.3110,2.1182,0.3444,0.2299,0.1145
253,0.3150,0.3369,0.0584,0.0159,23.0,-0.0540,457.0,0.3113,2.1185,0.3445,0.2302,0.1143
254,0.3153,0.3372,0.0584,0.0159,23.0,-0.0541,457.0,0.3116,2.1185,0.3447,0.2306,0.1141
255,0.3155,0.3375,0.0584,0.0159,23.1,-0.0539,456.9,0.3120,2.1214,0.3449,0.2309,0.1139
256,0.3158,0.3378,0.0584,0.0159,23.1,-0.0541,456.9,0.3123,2.1473,0.3450,0.2313,0.1138
257,0.3160,0.3380,0.0584,0.0159,23.1,-0.0542,456.9,0.3125,2.1753,0.3452,0.2316,0.1136
258,0.3163,0.3383,0.0585,0.0160,23.0,-0.0543,457.0,0.3128,2.1753,0.3454,0.2319,0.1134
259,0.3165,0.3386,0.0585,0.0160,23.1,-0.0542,456.9,0.3131,2.1753,0.3455,0.2323,0.1132
260,0.3167,0.3388,0.0585,0.0160,23.0,-0.0543,457.0,0.3133,2.1753,0.3457,0.2326,0.1131
261,0.3170,0.3391,0.0585,0.0160,23.0,-0.0544,457.0,0.3136,2.1758,0.3458,0.2329,0.1129
262,0.3172,0.3394,0.0585,0.0160,23.0,-0.0545,457.0,0.3139,2.1758,0.3460,0.2332,0.1127
263,0.3174,0.3396,0.0585,0.0160,23.0,-0.0546,457.0,0.3141,2.1758,0.3461,0.2336,0.1126
264,0.3177,0.3399,0.0585,0.0160,23.0,-0.0547,457.0,0.3144,2.1772,0.3463,0.2339,0.1124
265,0.3179,0.3401,0.0585,0.0160,22.9,-0.0549,457.1,0.3146,2.1776,0.3464,0.2342,0.1122
266,0.3181,0.3404,0.0586,0.0161,22.9,-0.0550,457.1,0.3148,2.1780,0.3466,0.2345,0.1121
267,0.3183,0.3406,0.0586,0.0161,22.9,-0.0551,457.1,0.3151,2.1794,0.3467,0.2348,0.1119
268,0.3185,0.3408,0.0586,0.0161,22.9,-0.0552,457.1,0.3153,2.1794,0.3469,0.2351,0.1118
269,0.3187,0.3411,0.0586,0.0161,22.9,-0.0553,457.1,0.3155,2.1813,0.3470,0.2354,0.1116
270,0.3189,0.3413,0.0586,0.0161,22.9,-0.0554,457.1,0.3158,2.1838,0.3472,0.2357,0.1115
271,0.3192,0.3415,0.0586,0.0161,22.9,-0.0555,457.1,0.3160,2.1852,0.3473,0.2360,0.1113
272,0.3194,0.3418,0.0586,0.0161,22.9,-0.0556,457.1,0.3163,2.1852,0.3474,0.2363,0.1112
273,0.3196,0.3420,0.0586,0.0161,22.9,-0.0557,457.1,0.3165,2.1852,0.3476,0.2365,0.1110
274,0.3198,0.3422,0.0586,0.0161,22.9,-0.0558,457.1,0.3167,2.2165,0.3477,0.2368,0.1109
275,0.3200,0.3424,0.0587,0.0162,22.9,-0.0559,457.1,0.3169,2.2165,0.3478,0.2371,0.1107
276,0.3202,0.3426,0.0587,0.0162,22.9,-0.0561,457.1,0.3172,2.2179,0.3480,0.2374,0.1106
277,0.3203,0.3429,0.0587,0.0162,23.0,-0.0558,457.0,0.3174,2.2184,0.3481,0.2376,0.1105
278,0.3205,0.3431,0.0587,0.0162,23.0,-0.0560,457.0,0.3177,2.2184,0.3482,0.2379,0.1103
279,0.3207,0.3433,0.0587,0.0162,23.1,-0.0558,456.9,0.3180,2.2184,0.3483,0.2382,0.1102
280,0.3209,0.3435,0.0587,0.0162,23.1,-0.0559,456.9,0.3182,2.2359,0.3485,0.2384,0.1100
281,0.3211,0.3437,0.0587,0.0162,23.2,-0.0558,456.8,0.3185,2.2439,0.3486,0.2387,0.1099
282,0.3213,0.3439,0.0587,0.0162,23.2,-0.0559,456.8,0.3187,2.2723,0.3487,0.2389,0.1098
283,0.3214,0.3441,0.0587,0.0162,23.2,-0.0560,456.8,0.3189,2.2729,0.3488,0.2392,0.1097
284,0.3216,0.3443,0.0587,0.0163,23.2,-0.0561,456.8,0.3191,2.2729,0.3489,0.2394,0.1095
285,0.3218,0.3445,0.0587,0.0163,23.2,-0.0562,456.8,0.3193,2.2729,0.3491,0.2397,0.1094
286,0.3220,0.3447,0.0587,0.0163,23.2,-0.0563,456.8,0.3195,2.3014,0.3492,0.2399,0.1093
287,0.3221,0.3449,0.0587,0.0163,23.2,-0.0564,456.8,0.3197,2.3014,0.3493,0.2401,0.1091
288,0.3223,0.3450,0.0587,0.0163,23.2,-0.0565,456.8,0.3199,2.3014,0.3494,0.2404,0.1090
289,0.3225,0.3452,0.0588,0.0163,23.2,-0.0566,456.8,0.3200,2.3303,0.3495,0.2406,0.1089
290,0.3226,0.3454,0.0588,0.0163,23.2,-0.0567,456.8,0.3202,2.3303,0.3496,0.2408,0.1088
291,0.3228,0.3456,0.0588,0.0163,23.2,-0.0568,456.8,0.3204,2.3317,0.3497,0.2411,0.1087
292,0.3230,0.3458,0.0588,0.0163,23.2,-0.0569,456.8,0.3206,2.3335,0.3498,0.2413,0.1085
293,0.3231,0.3459,0.0588,0.0163,23.2,-0.0570,456.8,0.3208,2.3420,0.3499,0.2415,0.1084
294,0.3233,0.3461,0.0588,0.0163,23.2,-0.0571,456.8,0.3209,2.3427,0.3500,0.2417,0.1083
295,0.3234,0.3463,0.0588,0.0163,23.2,-0.0572,456.8,0.3211,2.3427,0.3501,0.2419,0.1082
296,0.3236,0.3465,0.0588,0.0164,23.2,-0.0573,456.8,0.3213,2.3427,0.3502,0.2421,0.1081
297,0.3237,0.3466,0.0588,0.0164,23.2,-0.0574,456.8,0.3215,2.3427,0.3503,0.2424,0.1080
298,0.3239,0.3468,0.0588,0.0164,23.2,-0.0575,456.8,0.3216,2.3713,0.3504,0.2426,0.1079
299,0.3240,0.3470,0.0588,0.0164,23.2,-0.0576,456.8,0.3218,2.3713,0.3505,0.2428,0.1078
