step,with High-Degree Zealots_mean_opinion,with High-Degree Zealots_mean_abs_opinion,with High-Degree Zealots_non_zealot_variance,with High-Degree Zealots_cluster_variance,with High-Degree Zealots_negative_count,with High-Degree Zealots_negative_mean,with High-Degree Zealots_positive_count,with High-Degree Zealots_positive_mean,with High-Degree Zealots_polarization_index,with High-Degree Zealots_identity_1_mean_opinion,with High-Degree Zealots_identity_neg1_mean_opinion,with High-Degree Zealots_identity_opinion_difference
122,0.2767,0.2785,0.0453,0.0117,22.1,-0.0105,457.9,0.2592,0.0205,0.3020,0.1968,0.1052
123,0.2777,0.2794,0.0454,0.0117,22.2,-0.0104,457.8,0.2603,0.0206,0.3024,0.1984,0.1040
124,0.2786,0.2804,0.0455,0.0118,21.7,-0.0107,458.3,0.2611,0.0206,0.3027,0.1999,0.1029
125,0.2795,0.2813,0.0456,0.0118,21.6,-0.0107,458.4,0.2620,0.0208,0.3031,0.2013,0.1018
126,0.2804,0.2822,0.0457,0.0119,21.5,-0.0106,458.5,0.2630,0.0209,0.3034,0.2028,0.1007
127,0.2813,0.2831,0.0458,0.0119,21.2,-0.0108,458.8,0.2638,0.0211,0.3038,0.2042,0.0996
128,0.2822,0.2840,0.0459,0.0119,21.2,-0.0107,458.8,0.2648,0.0212,0.3041,0.2056,0.0985
129,0.2831,0.2849,0.0459,0.0120,21.0,-0.0109,459.0,0.2656,0.0212,0.3045,0.2070,0.0974
130,0.2840,0.2858,0.0460,0.0120,20.9,-0.0109,459.1,0.2665,0.0212,0.3048,0.2084,0.0964
131,0.2848,0.2866,0.0461,0.0121,20.8,-0.0110,459.2,0.2674,0.0212,0.3051,0.2098,0.0953
132,0.2856,0.2875,0.0462,0.0121,20.6,-0.0112,459.4,0.2681,0.0212,0.3054,0.2111,0.0943
133,0.2865,0.2883,0.0462,0.0121,20.2,-0.0114,459.8,0.2688,0.0213,0.3057,0.2125,0.0933
134,0.2873,0.2892,0.0463,0.0122,20.1,-0.0114,459.9,0.2696,0.0214,0.3060,0.2138,0.0922
135,0.2881,0.2900,0.0464,0.0122,20.0,-0.0114,460.0,0.2704,0.0215,0.3063,0.2151,0.0912
136,0.2889,0.2908,0.0464,0.0123,19.9,-0.0114,460.1,0.2713,0.0216,0.3066,0.2164,0.0903
137,0.2897,0.2916,0.0465,0.0123,19.8,-0.0115,460.2,0.2720,0.0218,0.3069,0.2176,0.0893
138,0.2904,0.2923,0.0466,0.0123,19.8,-0.0115,460.2,0.2729,0.0218,0.3072,0.2189,0.0883
139,0.2912,0.2931,0.0466,0.0124,19.8,-0.0115,460.2,0.2737,0.0218,0.3075,0.2201,0.0874
140,0.2920,0.2939,0.0467,0.0124,19.4,-0.0119,460.6,0.2743,0.0219,0.3078,0.2213,0.0864
141,0.2927,0.2946,0.0467,0.0124,19.4,-0.0119,460.6,0.2751,0.0222,0.3080,0.2225,0.0855
142,0.2934,0.2954,0.0468,0.0125,19.5,-0.0118,460.5,0.2759,0.0222,0.3083,0.2237,0.0846
143,0.2942,0.2961,0.0468,0.0125,19.4,-0.0119,460.6,0.2767,0.0224,0.3086,0.2249,0.0837
144,0.2949,0.2968,0.0469,0.0125,19.4,-0.0118,460.6,0.2774,0.0224,0.3088,0.2260,0.0828
145,0.2956,0.2975,0.0469,0.0126,19.4,-0.0118,460.6,0.2782,0.0225,0.3091,0.2272,0.0819
146,0.2963,0.2982,0.0470,0.0126,19.4,-0.0117,460.6,0.2790,0.0225,0.3094,0.2283,0.0811
147,0.2969,0.2989,0.0470,0.0126,19.3,-0.0118,460.7,0.2796,0.0225,0.3096,0.2294,0.0802
148,0.2976,0.2996,0.0471,0.0127,19.3,-0.0118,460.7,0.2804,0.0225,0.3098,0.2305,0.0794
149,0.2983,0.3003,0.0471,0.0127,19.1,-0.0120,460.9,0.2810,0.0225,0.3101,0.2315,0.0786
150,0.2989,0.3009,0.0472,0.0127,19.0,-0.0120,461.0,0.2816,0.0226,0.3103,0.2326,0.0777
151,0.2996,0.3016,0.0472,0.0128,18.9,-0.0120,461.1,0.2822,0.0451,0.3106,0.2336,0.0769
152,0.3002,0.3022,0.0472,0.0128,18.9,-0.0120,461.1,0.2829,0.0452,0.3108,0.2347,0.0761
153,0.3008,0.3029,0.0473,0.0128,19.1,-0.0118,460.9,0.2837,0.0678,0.3110,0.2357,0.0753
154,0.3014,0.3035,0.0473,0.0129,18.9,-0.0118,461.1,0.2843,0.0679,0.3112,0.2367,0.0746
155,0.3020,0.3041,0.0473,0.0129,18.9,-0.0117,461.1,0.2850,0.0908,0.3115,0.2376,0.0738
156,0.3026,0.3047,0.0474,0.0129,18.7,-0.0117,461.3,0.2855,0.0912,0.3117,0.2386,0.0731
157,0.3032,0.3053,0.0474,0.0129,18.5,-0.0118,461.5,0.2860,0.1368,0.3119,0.2396,0.0723
158,0.3038,0.3059,0.0474,0.0130,18.5,-0.0117,461.5,0.2866,0.1633,0.3121,0.2405,0.0716
159,0.3044,0.3065,0.0475,0.0130,18.2,-0.0122,461.8,0.2871,0.1634,0.3123,0.2414,0.0709
160,0.3049,0.3071,0.0475,0.0130,18.2,-0.0122,461.8,0.2877,0.1634,0.3125,0.2424,0.0701
161,0.3055,0.3076,0.0475,0.0130,18.0,-0.0124,462.0,0.2882,0.1636,0.3127,0.2433,0.0694
162,0.3060,0.3082,0.0475,0.0131,17.8,-0.0126,462.2,0.2886,0.1636,0.3129,0.2442,0.0687
163,0.3066,0.3087,0.0476,0.0131,17.6,-0.0127,462.4,0.2891,0.1637,0.3131,0.2450,0.0681
164,0.3071,0.3093,0.0476,0.0131,17.2,-0.0131,462.8,0.2894,0.1637,0.3133,0.2459,0.0674
165,0.3076,0.3098,0.0476,0.0132,17.0,-0.0134,463.0,0.2899,0.1643,0.3135,0.2468,0.0667
166,0.3081,0.3104,0.0476,0.0132,17.0,-0.0134,463.0,0.2904,0.1643,0.3137,0.2476,0.0661
167,0.3087,0.3109,0.0477,0.0132,16.8,-0.0136,463.2,0.2908,0.1643,0.3139,0.2484,0.0654
168,0.3092,0.3114,0.0477,0.0132,16.6,-0.0139,463.4,0.2913,0.1650,0.3140,0.2492,0.0648
169,0.3097,0.3119,0.0477,0.0132,16.6,-0.0139,463.4,0.2918,0.1650,0.3142,0.2501,0.0642
170,0.3101,0.3124,0.0477,0.0133,16.6,-0.0139,463.4,0.2923,0.1650,0.3144,0.2509,0.0635
171,0.3106,0.3129,0.0477,0.0133,16.5,-0.0139,463.5,0.2928,0.1912,0.3146,0.2516,0.0629
172,0.3111,0.3134,0.0477,0.0133,16.4,-0.0140,463.6,0.2933,0.1913,0.3147,0.2524,0.0623
173,0.3116,0.3139,0.0478,0.0133,16.3,-0.0142,463.7,0.2937,0.2377,0.3149,0.2532,0.0617
174,0.3120,0.3144,0.0478,0.0134,16.1,-0.0145,463.9,0.2941,0.2391,0.3151,0.2539,0.0611
175,0.3125,0.3148,0.0478,0.0134,16.0,-0.0146,464.0,0.2945,0.2391,0.3152,0.2547,0.0606
176,0.3129,0.3153,0.0478,0.0134,15.9,-0.0147,464.1,0.2950,0.2391,0.3154,0.2554,0.0600
177,0.3134,0.3158,0.0478,0.0134,15.8,-0.0148,464.2,0.2954,0.2632,0.3156,0.2561,0.0594
178,0.3138,0.3162,0.0478,0.0134,15.7,-0.0151,464.3,0.2958,0.2634,0.3157,0.2568,0.0589
179,0.3142,0.3167,0.0478,0.0135,15.6,-0.0152,464.4,0.2962,0.2641,0.3159,0.2575,0.0583
180,0.3147,0.3171,0.0478,0.0135,15.4,-0.0153,464.6,0.2965,0.2649,0.3160,0.2582,0.0578
181,0.3151,0.3175,0.0479,0.0135,15.3,-0.0157,464.7,0.2969,0.2649,0.3162,0.2589,0.0573
182,0.3155,0.3180,0.0479,0.0135,15.0,-0.0164,465.0,0.2972,0.2652,0.3163,0.2596,0.0567
183,0.3159,0.3184,0.0479,0.0135,15.0,-0.0165,465.0,0.2976,0.2888,0.3165,0.2602,0.0562
184,0.3163,0.3188,0.0479,0.0136,14.7,-0.0170,465.3,0.2979,0.2889,0.3166,0.2609,0.0557
185,0.3167,0.3192,0.0479,0.0136,14.4,-0.0175,465.6,0.2981,0.3125,0.3167,0.2616,0.0552
186,0.3171,0.3197,0.0479,0.0136,14.4,-0.0176,465.6,0.2985,0.3126,0.3169,0.2622,0.0547
187,0.3175,0.3201,0.0479,0.0136,14.3,-0.0178,465.7,0.2989,0.3135,0.3170,0.2628,0.0542
188,0.3178,0.3205,0.0479,0.0136,14.3,-0.0179,465.7,0.2993,0.3135,0.3172,0.2634,0.0537
189,0.3182,0.3209,0.0479,0.0137,14.1,-0.0190,465.9,0.2996,0.3138,0.3173,0.2641,0.0532
190,0.3186,0.3213,0.0479,0.0137,14.1,-0.0191,465.9,0.3000,0.3138,0.3174,0.2647,0.0528
191,0.3189,0.3216,0.0479,0.0137,13.9,-0.0193,466.1,0.3003,0.3375,0.3176,0.2653,0.0523
192,0.3193,0.3220,0.0479,0.0137,13.8,-0.0200,466.2,0.3006,0.3375,0.3177,0.2658,0.0518
193,0.3197,0.3224,0.0479,0.0137,13.8,-0.0202,466.2,0.3010,0.3377,0.3178,0.2664,0.0514
194,0.3200,0.3228,0.0479,0.0138,13.7,-0.0210,466.3,0.3013,0.3377,0.3179,0.2670,0.0509
195,0.3203,0.3231,0.0479,0.0138,13.7,-0.0212,466.3,0.3017,0.3389,0.3181,0.2676,0.0505
196,0.3207,0.3235,0.0479,0.0138,13.7,-0.0213,466.3,0.3021,0.3399,0.3182,0.2681,0.0501
197,0.3210,0.3239,0.0480,0.0138,13.8,-0.0209,466.2,0.3025,0.3410,0.3183,0.2687,0.0496
198,0.3214,0.3242,0.0480,0.0138,13.8,-0.0211,466.2,0.3029,0.3410,0.3184,0.2692,0.0492
199,0.3217,0.3246,0.0480,0.0138,13.8,-0.0213,466.2,0.3033,0.3412,0.3186,0.2698,0.0488
200,0.3220,0.3249,0.0480,0.0139,13.8,-0.0215,466.2,0.3036,0.3433,0.3187,0.2703,0.0484
201,0.3223,0.3253,0.0480,0.0139,13.7,-0.0217,466.3,0.3039,0.3433,0.3188,0.2708,0.0480
202,0.3226,0.3256,0.0480,0.0139,13.8,-0.0213,466.2,0.3043,0.3941,0.3189,0.2713,0.0476
203,0.3229,0.3259,0.0480,0.0139,13.8,-0.0215,466.2,0.3047,0.3941,0.3190,0.2718,0.0472
204,0.3232,0.3263,0.0480,0.0139,13.8,-0.0217,466.2,0.3050,0.3941,0.3191,0.2724,0.0468
205,0.3236,0.3266,0.0480,0.0139,13.8,-0.0219,466.2,0.3053,0.3941,0.3192,0.2729,0.0464
206,0.3238,0.3269,0.0480,0.0139,13.8,-0.0221,466.2,0.3057,0.3941,0.3193,0.2733,0.0460
207,0.3241,0.3272,0.0480,0.0140,13.8,-0.0223,466.2,0.3060,0.4022,0.3194,0.2738,0.0456
208,0.3244,0.3276,0.0480,0.0140,13.8,-0.0225,466.2,0.3063,0.4022,0.3195,0.2743,0.0452
209,0.3247,0.3279,0.0480,0.0140,13.8,-0.0227,466.2,0.3066,0.4288,0.3196,0.2748,0.0449
210,0.3250,0.3282,0.0480,0.0140,13.8,-0.0229,466.2,0.3070,0.4288,0.3197,0.2753,0.0445
211,0.3253,0.3285,0.0480,0.0140,13.6,-0.0231,466.4,0.3071,0.4288,0.3198,0.2757,0.0441
212,0.3256,0.3288,0.0480,0.0140,13.6,-0.0234,466.4,0.3074,0.4288,0.3199,0.2762,0.0438
213,0.3258,0.3291,0.0480,0.0141,13.6,-0.0236,466.4,0.3077,0.4288,0.3200,0.2766,0.0434
