step,without Zealots_mean_opinion,without Zealots_mean_abs_opinion,without Zealots_non_zealot_variance,without Zealots_cluster_variance,without Zealots_negative_count,without Zealots_negative_mean,without Zealots_positive_count,without Zealots_positive_mean,without Zealots_polarization_index,without Zealots_identity_1_mean_opinion,without Zealots_identity_neg1_mean_opinion,without Zealots_identity_opinion_difference
220,0.0682,0.1974,0.0575,0.0093,193.1,-0.0923,306.9,0.1745,2.0200,0.0718,0.0679,0.0039
221,0.0683,0.1981,0.0577,0.0093,193.2,-0.0927,306.8,0.1750,2.0278,0.0720,0.0679,0.0042
222,0.0684,0.1988,0.0578,0.0094,193.0,-0.0933,307.0,0.1754,2.0336,0.0722,0.0679,0.0044
223,0.0685,0.1995,0.0579,0.0094,193.0,-0.0937,307.0,0.1758,2.0652,0.0724,0.0678,0.0046
224,0.0685,0.2001,0.0580,0.0095,193.2,-0.0940,306.8,0.1763,2.0771,0.0726,0.0678,0.0048
225,0.0686,0.2008,0.0582,0.0095,193.2,-0.0943,306.8,0.1767,2.0815,0.0728,0.0678,0.0050
226,0.0687,0.2015,0.0583,0.0095,193.4,-0.0946,306.6,0.1773,2.0859,0.0730,0.0677,0.0053
227,0.0687,0.2022,0.0584,0.0096,193.3,-0.0950,306.7,0.1777,2.1112,0.0732,0.0677,0.0055
228,0.0688,0.2029,0.0586,0.0096,193.1,-0.0956,306.9,0.1780,2.1256,0.0734,0.0677,0.0057
229,0.0688,0.2035,0.0587,0.0097,193.0,-0.0959,307.0,0.1783,2.1447,0.0735,0.0676,0.0059
230,0.0689,0.2042,0.0588,0.0097,192.9,-0.0965,307.1,0.1787,2.1525,0.0737,0.0676,0.0061
231,0.0690,0.2049,0.0589,0.0097,192.9,-0.0968,307.1,0.1791,2.1681,0.0739,0.0676,0.0063
232,0.0690,0.2055,0.0590,0.0098,192.9,-0.0972,307.1,0.1795,2.1784,0.0741,0.0675,0.0066
233,0.0691,0.2062,0.0592,0.0098,192.6,-0.0976,307.4,0.1798,2.2048,0.0743,0.0675,0.0068
234,0.0691,0.2068,0.0593,0.0098,192.6,-0.0980,307.4,0.1802,2.2188,0.0744,0.0675,0.0070
235,0.0692,0.2075,0.0594,0.0099,192.4,-0.0983,307.6,0.1805,2.2246,0.0746,0.0674,0.0072
236,0.0692,0.2081,0.0595,0.0099,192.5,-0.0985,307.5,0.1810,2.2483,0.0748,0.0674,0.0074
237,0.0693,0.2088,0.0596,0.0099,192.6,-0.0988,307.4,0.1815,2.2553,0.0750,0.0673,0.0076
238,0.0694,0.2094,0.0597,0.0100,192.6,-0.0992,307.4,0.1819,2.2701,0.0751,0.0673,0.0078
239,0.0694,0.2100,0.0599,0.0100,192.5,-0.0995,307.5,0.1821,2.2818,0.0753,0.0672,0.0081
240,0.0695,0.2106,0.0600,0.0101,192.4,-0.0999,307.6,0.1825,2.2878,0.0755,0.0672,0.0083
241,0.0695,0.2113,0.0601,0.0101,192.1,-0.1004,307.9,0.1826,2.2878,0.0756,0.0672,0.0085
242,0.0696,0.2119,0.0602,0.0101,192.1,-0.1007,307.9,0.1830,2.2922,0.0758,0.0671,0.0087
243,0.0696,0.2125,0.0603,0.0102,192.3,-0.1009,307.7,0.1835,2.2922,0.0760,0.0671,0.0089
244,0.0697,0.2131,0.0604,0.0102,192.0,-0.1015,308.0,0.1837,2.3088,0.0761,0.0670,0.0091
245,0.0697,0.2137,0.0605,0.0102,191.9,-0.1019,308.1,0.1840,2.3133,0.0763,0.0670,0.0093
246,0.0698,0.2143,0.0606,0.0103,191.9,-0.1021,308.1,0.1844,2.3235,0.0765,0.0669,0.0095
247,0.0698,0.2149,0.0607,0.0103,191.8,-0.1026,308.2,0.1848,2.3414,0.0766,0.0669,0.0097
248,0.0699,0.2155,0.0608,0.0103,191.8,-0.1030,308.2,0.1852,2.3554,0.0768,0.0668,0.0099
249,0.0699,0.2161,0.0609,0.0104,191.8,-0.1032,308.2,0.1857,2.3763,0.0769,0.0668,0.0101
250,0.0700,0.2166,0.0610,0.0104,192.0,-0.1034,308.0,0.1864,2.3807,0.0771,0.0668,0.0103
251,0.0700,0.2172,0.0611,0.0104,192.0,-0.1037,308.0,0.1869,2.3807,0.0773,0.0667,0.0106
252,0.0701,0.2178,0.0612,0.0105,192.1,-0.1040,307.9,0.1872,2.3983,0.0774,0.0667,0.0108
253,0.0701,0.2184,0.0613,0.0105,192.1,-0.1043,307.9,0.1877,2.4321,0.0776,0.0666,0.0110
254,0.0702,0.2189,0.0614,0.0105,192.1,-0.1046,307.9,0.1881,2.4441,0.0777,0.0666,0.0112
255,0.0702,0.2195,0.0615,0.0106,192.2,-0.1049,307.8,0.1883,2.4543,0.0779,0.0665,0.0114
256,0.0703,0.2200,0.0616,0.0106,192.1,-0.1051,307.9,0.1888,2.4558,0.0780,0.0665,0.0116
257,0.0703,0.2206,0.0617,0.0106,191.9,-0.1057,308.1,0.1890,2.4662,0.0782,0.0664,0.0118
258,0.0704,0.2211,0.0618,0.0106,192.2,-0.1058,307.8,0.1896,2.4782,0.0784,0.0664,0.0120
259,0.0704,0.2217,0.0619,0.0107,192.4,-0.1060,307.6,0.1902,2.4957,0.0785,0.0664,0.0122
260,0.0705,0.2222,0.0620,0.0107,192.4,-0.1062,307.6,0.1905,2.5093,0.0787,0.0663,0.0123
261,0.0705,0.2227,0.0621,0.0107,192.7,-0.1063,307.3,0.1913,2.5093,0.0788,0.0663,0.0125
262,0.0706,0.2233,0.0622,0.0108,192.5,-0.1066,307.5,0.1915,2.5093,0.0790,0.0662,0.0127
263,0.0706,0.2238,0.0623,0.0108,192.6,-0.1068,307.4,0.1919,2.5108,0.0791,0.0662,0.0129
264,0.0707,0.2243,0.0624,0.0108,192.6,-0.1071,307.4,0.1923,2.5215,0.0793,0.0661,0.0131
265,0.0707,0.2248,0.0624,0.0109,192.6,-0.1074,307.4,0.1926,2.5259,0.0794,0.0661,0.0133
266,0.0708,0.2253,0.0625,0.0109,192.7,-0.1076,307.3,0.1931,2.5436,0.0796,0.0661,0.0135
267,0.0709,0.2258,0.0626,0.0109,192.7,-0.1079,307.3,0.1935,2.5436,0.0797,0.0660,0.0137
268,0.0709,0.2264,0.0627,0.0109,192.6,-0.1082,307.4,0.1937,2.5543,0.0799,0.0660,0.0139
269,0.0710,0.2269,0.0628,0.0110,192.6,-0.1085,307.4,0.1941,2.5543,0.0800,0.0660,0.0141
270,0.0710,0.2273,0.0629,0.0110,192.6,-0.1087,307.4,0.1944,2.5543,0.0802,0.0659,0.0142
271,0.0711,0.2278,0.0629,0.0110,192.6,-0.1090,307.4,0.1947,2.5588,0.0803,0.0659,0.0144
272,0.0711,0.2283,0.0630,0.0110,192.2,-0.1095,307.8,0.1948,2.5588,0.0805,0.0658,0.0146
273,0.0712,0.2288,0.0631,0.0111,192.2,-0.1098,307.8,0.1951,2.5646,0.0806,0.0658,0.0148
274,0.0712,0.2293,0.0632,0.0111,192.4,-0.1099,307.6,0.1959,2.5646,0.0807,0.0658,0.0150
275,0.0713,0.2298,0.0633,0.0111,192.3,-0.1102,307.7,0.1961,2.5646,0.0809,0.0657,0.0152
276,0.0713,0.2302,0.0633,0.0112,192.2,-0.1104,307.8,0.1964,2.5745,0.0810,0.0657,0.0153
277,0.0714,0.2307,0.0634,0.0112,192.1,-0.1107,307.9,0.1966,2.5745,0.0812,0.0657,0.0155
278,0.0714,0.2312,0.0635,0.0112,192.1,-0.1109,307.9,0.1970,2.5923,0.0813,0.0656,0.0157
279,0.0715,0.2316,0.0636,0.0112,191.9,-0.1113,308.1,0.1972,2.5923,0.0815,0.0656,0.0159
280,0.0715,0.2321,0.0636,0.0113,192.0,-0.1114,308.0,0.1977,2.6051,0.0816,0.0656,0.0160
281,0.0716,0.2325,0.0637,0.0113,191.9,-0.1117,308.1,0.1979,2.6115,0.0817,0.0655,0.0162
282,0.0717,0.2330,0.0638,0.0113,192.0,-0.1119,308.0,0.1983,2.6466,0.0819,0.0655,0.0164
283,0.0717,0.2334,0.0639,0.0113,192.1,-0.1122,307.9,0.1988,2.6591,0.0820,0.0655,0.0165
284,0.0718,0.2339,0.0639,0.0114,191.9,-0.1125,308.1,0.1990,2.6591,0.0822,0.0655,0.0167
285,0.0718,0.2343,0.0640,0.0114,191.9,-0.1127,308.1,0.1993,2.6739,0.0823,0.0654,0.0169
286,0.0719,0.2348,0.0641,0.0114,191.9,-0.1130,308.1,0.1996,2.6922,0.0824,0.0654,0.0170
287,0.0719,0.2352,0.0641,0.0114,191.9,-0.1132,308.1,0.1999,2.6922,0.0826,0.0654,0.0172
288,0.0720,0.2356,0.0642,0.0114,191.8,-0.1135,308.2,0.2001,2.7104,0.0827,0.0653,0.0174
289,0.0720,0.2360,0.0643,0.0115,191.9,-0.1137,308.1,0.2005,2.7104,0.0828,0.0653,0.0175
290,0.0721,0.2365,0.0643,0.0115,191.6,-0.1139,308.4,0.2006,2.7284,0.0830,0.0653,0.0177
291,0.0722,0.2369,0.0644,0.0115,191.6,-0.1141,308.4,0.2009,2.7392,0.0831,0.0653,0.0178
292,0.0722,0.2373,0.0644,0.0115,191.8,-0.1142,308.2,0.2013,2.7635,0.0833,0.0653,0.0180
293,0.0723,0.2377,0.0645,0.0116,191.7,-0.1144,308.3,0.2015,2.7982,0.0834,0.0652,0.0182
294,0.0723,0.2381,0.0646,0.0116,191.6,-0.1146,308.4,0.2018,2.8029,0.0835,0.0652,0.0183
295,0.0724,0.2385,0.0646,0.0116,191.5,-0.1148,308.5,0.2020,2.8029,0.0837,0.0652,0.0185
296,0.0724,0.2389,0.0647,0.0116,191.3,-0.1150,308.7,0.2023,2.8577,0.0838,0.0652,0.0186
297,0.0725,0.2393,0.0648,0.0116,191.3,-0.1151,308.7,0.2028,2.8599,0.0839,0.0652,0.0188
298,0.0726,0.2397,0.0648,0.0117,191.3,-0.1153,308.7,0.2031,2.8706,0.0840,0.0651,0.0189
299,0.0726,0.2401,0.0649,0.0117,191.4,-0.1155,308.6,0.2034,2.8837,0.0842,0.0651,0.0191
